OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
14243,Neighborhood Profile Area,136,136,2019,07,Aggravated Assault-Gun,1
14244,Neighborhood Profile Area,332,332,2019,07,"Aggravated Assault-Fists,Feet, etc.",1
14245,Neighborhood Profile Area,387,387,2019,08,Aggravated Assault-Other Weapon,1
14246,Neighborhood Profile Area,258,258,2021,07,Aggravated Assault-Gun,6
14247,Neighborhood Profile Area,35,35,2016,06,Aggravated Assault-Gun,1
14248,Neighborhood Profile Area,230,230,2020,07,Armed Robbery,1
14249,Neighborhood Profile Area,178,178,2018,09,Aggravated Assault-Gun,4
14250,Neighborhood Profile Area,73,73,2018,11,"Aggravated Assault-Fists,Feet, etc.",1
14251,Neighborhood Profile Area,45,45,2016,02,Armed Robbery,1
14252,Neighborhood Profile Area,68,68,2018,12,Rape,2
14253,Neighborhood Profile Area,68,68,2020,06,Armed Robbery,1
14254,Neighborhood Profile Area,68,68,2020,08,Aggravated Assault-Gun,1
14255,Neighborhood Profile Area,178,178,2019,04,Aggravated Assault-Gun,1
14256,Neighborhood Profile Area,114,114,2018,12,Armed Robbery,1
14257,Neighborhood Profile Area,203,203,2016,06,Aggravated Assault-Knife,1
14258,Neighborhood Profile Area,96,96,2017,05,Strong Arm Robbery,1
14259,Neighborhood Profile Area,330,330,2020,06,Strong Arm Robbery,1
14260,Neighborhood Profile Area,306,306,2020,04,Aggravated Assault-Gun,1
14261,Neighborhood Profile Area,289,289,2017,01,Strong Arm Robbery,1
14262,Neighborhood Profile Area,306,306,2017,07,Aggravated Assault-Gun,2
14263,Neighborhood Profile Area,289,289,2017,10,Armed Robbery,1
14264,Neighborhood Profile Area,307,307,2019,04,Aggravated Assault-Gun,5
14265,Neighborhood Profile Area,306,306,2018,10,Rape,1
14266,Neighborhood Profile Area,306,306,2016,11,Rape,1
14267,Neighborhood Profile Area,113,113,2018,05,Rape,1
14268,Neighborhood Profile Area,53,53,2015,01,Strong Arm Robbery,1
14269,Neighborhood Profile Area,73,73,2020,06,Aggravated Assault-Other Weapon,1
14270,Neighborhood Profile Area,85,85,2016,05,Aggravated Assault-Knife,1
14271,Neighborhood Profile Area,386,386,2017,11,Aggravated Assault-Knife,1
14272,Neighborhood Profile Area,316,316,2018,12,Armed Robbery,2
14273,Neighborhood Profile Area,103,103,2017,10,Aggravated Assault-Other Weapon,1
14274,Neighborhood Profile Area,103,103,2019,04,Strong Arm Robbery,1
14275,Neighborhood Profile Area,17,17,2020,09,Armed Robbery,1
14276,Neighborhood Profile Area,331,331,2020,12,Aggravated Assault-Gun,3
14277,Neighborhood Profile Area,331,331,2021,03,Aggravated Assault-Gun,5
14278,Neighborhood Profile Area,153,153,2020,10,Rape,2
14279,Neighborhood Profile Area,153,153,2016,10,Armed Robbery,1
14280,Neighborhood Profile Area,153,153,2020,02,Strong Arm Robbery,1
14281,Neighborhood Profile Area,90,90,2021,02,Rape,1
14282,Neighborhood Profile Area,168,168,2021,04,Homicide,1
14283,Neighborhood Profile Area,158,158,2016,02,Aggravated Assault-Gun,6
14284,Neighborhood Profile Area,79,79,2016,05,Strong Arm Robbery,1
14285,Neighborhood Profile Area,127,127,2021,01,Armed Robbery,1
14286,Neighborhood Profile Area,370,370,2017,07,Rape,1
14287,Neighborhood Profile Area,370,370,2022,03,Homicide,1
14288,Neighborhood Profile Area,86,86,2016,12,Armed Robbery,2
14289,Neighborhood Profile Area,305,305,2020,07,Aggravated Assault-Gun,1
14290,Neighborhood Profile Area,209,209,2019,01,Aggravated Assault-Gun,9
14291,Neighborhood Profile Area,325,325,2021,11,Aggravated Assault-Gun,1
14292,Neighborhood Profile Area,360,360,2018,06,Aggravated Assault-Other Weapon,1
14293,Neighborhood Profile Area,6,6,2018,11,Strong Arm Robbery,1
14294,Neighborhood Profile Area,6,6,2020,07,Rape,1
14295,Neighborhood Profile Area,139,139,2021,12,Armed Robbery,1
14296,Neighborhood Profile Area,166,166,2016,10,Armed Robbery,2
14297,Neighborhood Profile Area,258,258,2016,11,Aggravated Assault-Gun,1
14298,Neighborhood Profile Area,136,136,2020,06,Armed Robbery,1
14299,Neighborhood Profile Area,266,266,2018,08,Aggravated Assault-Knife,1
14300,Neighborhood Profile Area,117,117,2019,10,Aggravated Assault-Gun,5
14301,Neighborhood Profile Area,386,386,2015,07,Armed Robbery,1
14302,Neighborhood Profile Area,386,386,2021,05,Homicide,1
14303,Neighborhood Profile Area,360,360,2022,02,Aggravated Assault-Gun,2
14304,Neighborhood Profile Area,85,85,2017,09,Homicide,1
14305,Neighborhood Profile Area,3,3,2021,04,Strong Arm Robbery,1
14306,Neighborhood Profile Area,90,90,2019,01,Armed Robbery,1
14307,Neighborhood Profile Area,48,48,2016,11,Armed Robbery,1
14308,Neighborhood Profile Area,157,157,2020,07,Aggravated Assault-Gun,1
14309,Neighborhood Profile Area,116,116,2020,05,Strong Arm Robbery,1
14310,Neighborhood Profile Area,120,120,2016,11,Armed Robbery,1
14311,Neighborhood Profile Area,334,334,2016,01,Armed Robbery,2
14312,Neighborhood Profile Area,50,50,2015,09,Aggravated Assault-Other Weapon,1
14313,Neighborhood Profile Area,50,50,2016,08,Aggravated Assault-Knife,4
14314,Neighborhood Profile Area,50,50,2018,05,Aggravated Assault-Knife,1
14315,Neighborhood Profile Area,146,146,2020,08,Aggravated Assault-Gun,7
14316,Neighborhood Profile Area,33,33,2021,12,Aggravated Assault-Gun,1
14317,Neighborhood Profile Area,52,52,2017,02,Armed Robbery,1
14318,Neighborhood Profile Area,248,248,2016,12,Armed Robbery,2
14319,Neighborhood Profile Area,248,248,2016,11,Aggravated Assault-Knife,1
14320,Neighborhood Profile Area,248,248,2018,03,Aggravated Assault-Other Weapon,1
14321,Neighborhood Profile Area,209,209,2021,03,Rape,1
14322,Neighborhood Profile Area,79,79,2016,12,Aggravated Assault-Knife,1
14323,Neighborhood Profile Area,152,152,2016,11,Aggravated Assault-Gun,5
14324,Neighborhood Profile Area,370,370,2018,09,Aggravated Assault-Knife,1
14325,Neighborhood Profile Area,50,50,2015,01,Strong Arm Robbery,1
14326,Neighborhood Profile Area,233,233,2022,01,Aggravated Assault-Gun,1
14327,Neighborhood Profile Area,167,167,2017,06,Homicide,1
14328,Neighborhood Profile Area,88,88,2021,06,Aggravated Assault-Other Weapon,1
14329,Neighborhood Profile Area,221,221,2015,09,Armed Robbery,1
14330,Neighborhood Profile Area,221,221,2017,09,Aggravated Assault-Gun,1
14331,Neighborhood Profile Area,124,124,2017,01,Armed Robbery,1
14332,Neighborhood Profile Area,124,124,2020,04,Aggravated Assault-Gun,1
14333,Neighborhood Profile Area,21,21,2019,06,Aggravated Assault-Knife,1
14334,Neighborhood Profile Area,147,147,2016,06,Aggravated Assault-Gun,1
14335,Neighborhood Profile Area,173,173,2016,02,"Aggravated Assault-Fists,Feet, etc.",1
14336,Neighborhood Profile Area,158,158,2020,09,Aggravated Assault-Knife,1
14337,Neighborhood Profile Area,367,367,2021,05,Aggravated Assault-Gun,1
14338,Neighborhood Profile Area,113,113,2021,06,Aggravated Assault-Gun,7
14339,Neighborhood Profile Area,321,321,2018,05,Armed Robbery,1
14340,Neighborhood Profile Area,144,144,2018,12,Armed Robbery,1
14341,Neighborhood Profile Area,48,48,2018,07,Aggravated Assault-Knife,1
14342,Neighborhood Profile Area,259,259,2019,01,Aggravated Assault-Gun,4
14343,Neighborhood Profile Area,343,343,2020,05,Aggravated Assault-Other Weapon,1
14344,Neighborhood Profile Area,283,283,2021,04,Aggravated Assault-Gun,6
14345,Neighborhood Profile Area,260,260,2021,03,Strong Arm Robbery,1
14346,Neighborhood Profile Area,342,342,2015,08,Aggravated Assault-Gun,1
14347,Neighborhood Profile Area,342,342,2020,07,Aggravated Assault-Gun,1
14348,Neighborhood Profile Area,342,342,2020,11,Armed Robbery,1
14349,Neighborhood Profile Area,234,234,2020,08,Aggravated Assault-Gun,8
14350,Neighborhood Profile Area,221,221,2019,06,Armed Robbery,1
14351,Neighborhood Profile Area,221,221,2020,03,Strong Arm Robbery,1
14352,Neighborhood Profile Area,254,254,2019,12,Aggravated Assault-Gun,8
14353,Neighborhood Profile Area,164,164,2020,10,Strong Arm Robbery,1
14354,Neighborhood Profile Area,79,79,2019,09,Armed Robbery,1
14355,Neighborhood Profile Area,34,34,2020,12,Aggravated Assault-Gun,1
14356,Neighborhood Profile Area,221,221,2020,10,Aggravated Assault-Gun,2
14357,Neighborhood Profile Area,242,242,2021,03,Aggravated Assault-Gun,2
14358,Neighborhood Profile Area,50,50,2019,10,Armed Robbery,2
14359,Neighborhood Profile Area,207,207,2018,08,Aggravated Assault-Gun,1
14360,Neighborhood Profile Area,258,258,2019,12,Strong Arm Robbery,1
14361,Neighborhood Profile Area,247,247,2020,12,Aggravated Assault-Gun,2
14362,Neighborhood Profile Area,321,321,2021,04,Aggravated Assault-Gun,4
14363,Neighborhood Profile Area,142,142,2017,07,Aggravated Assault-Other Weapon,1
14364,Neighborhood Profile Area,87,87,2016,12,Armed Robbery,1
14365,Neighborhood Profile Area,290,290,2020,01,Aggravated Assault-Gun,1
14366,Neighborhood Profile Area,290,290,2022,01,Aggravated Assault-Other Weapon,1
14367,Neighborhood Profile Area,145,145,2020,09,Aggravated Assault-Other Weapon,1
14368,Neighborhood Profile Area,162,162,2017,11,Armed Robbery,1
14369,Neighborhood Profile Area,95,95,2021,01,Armed Robbery,1
14370,Neighborhood Profile Area,95,95,2021,12,Aggravated Assault-Other Weapon,1
14371,Neighborhood Profile Area,192,192,2017,12,Armed Robbery,1
14372,Neighborhood Profile Area,192,192,2019,06,Armed Robbery,1
14373,Neighborhood Profile Area,242,242,2016,06,Aggravated Assault-Knife,1
14374,Neighborhood Profile Area,248,248,2016,04,"Aggravated Assault-Fists,Feet, etc.",1
14375,Neighborhood Profile Area,383,383,2018,04,Armed Robbery,1
14376,Neighborhood Profile Area,77,77,2018,10,Rape,1
14377,Neighborhood Profile Area,356,356,2016,04,Rape,1
14378,Neighborhood Profile Area,277,277,2015,05,Aggravated Assault-Gun,9
14379,Neighborhood Profile Area,213,213,2018,01,Armed Robbery,1
14380,Neighborhood Profile Area,237,237,2018,01,Aggravated Assault-Gun,1
14381,Neighborhood Profile Area,342,342,2019,04,Armed Robbery,1
14382,Neighborhood Profile Area,343,343,2020,08,Aggravated Assault-Gun,1
14383,Neighborhood Profile Area,342,342,2015,08,Armed Robbery,1
14384,Neighborhood Profile Area,109,109,2018,09,Rape,1
14385,Neighborhood Profile Area,109,109,2019,12,Aggravated Assault-Gun,1
14386,Neighborhood Profile Area,159,159,2020,11,Homicide,1
14387,Neighborhood Profile Area,272,272,2017,09,Aggravated Assault-Other Weapon,1
14388,Neighborhood Profile Area,272,272,2020,11,Armed Robbery,1
14389,Neighborhood Profile Area,272,272,2021,07,Strong Arm Robbery,1
14390,Neighborhood Profile Area,117,117,2018,12,Aggravated Assault-Gun,4
14391,Neighborhood Profile Area,258,258,2019,06,Armed Robbery,3
14392,Neighborhood Profile Area,153,153,2017,08,Aggravated Assault-Gun,1
14393,Neighborhood Profile Area,246,246,2020,02,Aggravated Assault-Gun,1
14394,Neighborhood Profile Area,111,111,2021,09,Aggravated Assault-Gun,5
14395,Neighborhood Profile Area,154,154,2017,01,Armed Robbery,1
14396,Neighborhood Profile Area,113,113,2015,02,Rape,1
14397,Neighborhood Profile Area,280,280,2021,09,"Aggravated Assault-Fists,Feet, etc.",1
14398,Neighborhood Profile Area,21,21,2018,12,Aggravated Assault-Other Weapon,1
14399,Neighborhood Profile Area,248,248,2021,11,"Aggravated Assault-Fists,Feet, etc.",1
14400,Neighborhood Profile Area,147,147,2019,01,Aggravated Assault-Gun,3
14401,Neighborhood Profile Area,340,340,2020,11,Strong Arm Robbery,1
14402,Neighborhood Profile Area,340,340,2021,11,Rape,1
14403,Neighborhood Profile Area,283,283,2022,01,Aggravated Assault-Gun,3
14404,Neighborhood Profile Area,125,125,2015,06,Strong Arm Robbery,1
14405,Neighborhood Profile Area,325,325,2018,11,Aggravated Assault-Gun,1
14406,Neighborhood Profile Area,98,98,2022,01,Aggravated Assault-Gun,3
14407,Neighborhood Profile Area,331,331,2022,02,Aggravated Assault-Gun,1
14408,Neighborhood Profile Area,96,96,2021,09,Aggravated Assault-Gun,1
14409,Neighborhood Profile Area,232,232,2020,03,Aggravated Assault-Gun,11
14410,Neighborhood Profile Area,113,113,2018,07,Aggravated Assault-Gun,4
14411,Neighborhood Profile Area,19,19,2017,01,Armed Robbery,1
14412,Neighborhood Profile Area,289,289,2017,10,Aggravated Assault-Other Weapon,1
14413,Neighborhood Profile Area,234,234,2019,02,Armed Robbery,1
14414,Neighborhood Profile Area,167,167,2016,09,Aggravated Assault-Knife,1
14415,Neighborhood Profile Area,247,247,2016,05,Armed Robbery,1
14416,Neighborhood Profile Area,190,190,2018,08,Homicide,1
14417,Neighborhood Profile Area,190,190,2019,08,Aggravated Assault-Gun,18
14418,Neighborhood Profile Area,190,190,2018,05,Aggravated Assault-Other Weapon,1
14419,Neighborhood Profile Area,251,251,2018,03,Armed Robbery,1
14420,Neighborhood Profile Area,211,211,2018,04,Aggravated Assault-Gun,1
14421,Neighborhood Profile Area,282,282,2020,08,Aggravated Assault-Gun,8
14422,Neighborhood Profile Area,229,229,2019,08,Aggravated Assault-Knife,1
14423,Neighborhood Profile Area,348,348,2016,07,Aggravated Assault-Gun,3
14424,Neighborhood Profile Area,301,301,2017,07,Homicide,1
14425,Neighborhood Profile Area,336,336,2018,06,Armed Robbery,1
14426,Neighborhood Profile Area,336,336,2020,07,Aggravated Assault-Gun,2
14427,Neighborhood Profile Area,166,166,2021,10,Aggravated Assault-Gun,1
14428,Neighborhood Profile Area,387,387,2019,06,Strong Arm Robbery,1
14429,Neighborhood Profile Area,64,64,2021,09,Aggravated Assault-Gun,6
14430,Neighborhood Profile Area,336,336,2019,11,Rape,1
14431,Neighborhood Profile Area,162,162,2016,06,Aggravated Assault-Knife,1
14432,Neighborhood Profile Area,231,231,2020,04,Aggravated Assault-Gun,8
14433,Neighborhood Profile Area,66,66,2018,11,Armed Robbery,1
14434,Neighborhood Profile Area,336,336,2016,02,Aggravated Assault-Other Weapon,1
14435,Neighborhood Profile Area,155,155,2018,07,Strong Arm Robbery,1
14436,Neighborhood Profile Area,336,336,2018,12,Aggravated Assault-Gun,1
14437,Neighborhood Profile Area,341,341,2020,03,Aggravated Assault-Other Weapon,3
14438,Neighborhood Profile Area,316,316,2016,04,Aggravated Assault-Knife,1
14439,Neighborhood Profile Area,316,316,2017,03,Aggravated Assault-Gun,1
14440,Neighborhood Profile Area,64,64,2018,04,Armed Robbery,1
14441,Neighborhood Profile Area,331,331,2021,08,Aggravated Assault-Knife,1
14442,Neighborhood Profile Area,135,135,2021,06,Attempted Rape,1
14443,Neighborhood Profile Area,155,155,2017,07,Aggravated Assault-Other Weapon,2
14444,Neighborhood Profile Area,116,116,2016,01,Aggravated Assault-Knife,1
14445,Neighborhood Profile Area,102,102,2021,11,Armed Robbery,1
14446,Neighborhood Profile Area,166,166,2020,01,Aggravated Assault-Gun,8
14447,Neighborhood Profile Area,273,273,2016,11,Rape,1
14448,Neighborhood Profile Area,324,324,2020,08,Aggravated Assault-Other Weapon,1
14449,Neighborhood Profile Area,180,180,2015,06,Aggravated Assault-Knife,1
14450,Neighborhood Profile Area,299,299,2021,01,Armed Robbery,1
14451,Neighborhood Profile Area,280,280,2020,01,Armed Robbery,1
14452,Neighborhood Profile Area,183,183,2019,05,Aggravated Assault-Other Weapon,1
14453,Neighborhood Profile Area,166,166,2015,12,Aggravated Assault-Other Weapon,1
14454,Neighborhood Profile Area,379,379,2021,09,Aggravated Assault-Knife,1
14455,Neighborhood Profile Area,234,234,2021,07,Strong Arm Robbery,1
14456,Neighborhood Profile Area,316,316,2016,06,Armed Robbery,1
14457,Neighborhood Profile Area,316,316,2018,09,Aggravated Assault-Gun,1
14458,Neighborhood Profile Area,17,17,2016,01,Strong Arm Robbery,1
14459,Neighborhood Profile Area,245,245,2019,10,Aggravated Assault-Knife,2
14460,Neighborhood Profile Area,64,64,2020,12,Aggravated Assault-Gun,2
14461,Neighborhood Profile Area,147,147,2017,12,Aggravated Assault-Gun,1
14462,Neighborhood Profile Area,294,294,2022,03,Strong Arm Robbery,1
14463,Neighborhood Profile Area,153,153,2016,08,Aggravated Assault-Gun,1
14464,Neighborhood Profile Area,245,245,2016,06,Armed Robbery,1
14465,Neighborhood Profile Area,127,127,2019,02,Strong Arm Robbery,1
14466,Neighborhood Profile Area,127,127,2019,08,Strong Arm Robbery,1
14467,Neighborhood Profile Area,331,331,2021,11,Aggravated Assault-Other Weapon,2
14468,Neighborhood Profile Area,135,135,2015,03,Aggravated Assault-Other Weapon,1
14469,Neighborhood Profile Area,325,325,2021,03,Rape,1
14470,Neighborhood Profile Area,60,60,2020,06,Aggravated Assault-Gun,1
14471,Neighborhood Profile Area,96,96,2020,09,Aggravated Assault-Knife,1
14472,Neighborhood Profile Area,304,304,2018,10,Aggravated Assault-Other Weapon,1
14473,Neighborhood Profile Area,166,166,2018,09,Aggravated Assault-Gun,2
14474,Neighborhood Profile Area,154,154,2017,07,Aggravated Assault-Gun,1
14475,Neighborhood Profile Area,139,139,2020,11,Aggravated Assault-Gun,1
14476,Neighborhood Profile Area,21,21,2022,01,Aggravated Assault-Gun,1
14477,Neighborhood Profile Area,229,229,2021,01,Aggravated Assault-Gun,1
14478,Neighborhood Profile Area,276,276,2022,01,Aggravated Assault-Knife,1
14479,Neighborhood Profile Area,381,381,2019,10,Rape,1
14480,Neighborhood Profile Area,94,94,2021,06,Aggravated Assault-Gun,1
14481,Neighborhood Profile Area,374,374,2016,07,Aggravated Assault-Knife,1
14482,Neighborhood Profile Area,53,53,2015,02,Aggravated Assault-Knife,1
14483,Neighborhood Profile Area,283,283,2016,05,Aggravated Assault-Gun,7
14484,Neighborhood Profile Area,234,234,2017,06,Aggravated Assault-Gun,1
14485,Neighborhood Profile Area,37,37,2015,11,Aggravated Assault-Knife,2
14486,Neighborhood Profile Area,341,341,2018,02,Armed Robbery,1
14487,Neighborhood Profile Area,371,371,2015,10,Rape,1
14488,Neighborhood Profile Area,306,306,2016,07,Strong Arm Robbery,1
14489,Neighborhood Profile Area,182,182,2021,01,Aggravated Assault-Gun,4
14490,Neighborhood Profile Area,367,367,2020,05,Aggravated Assault-Gun,5
14491,Neighborhood Profile Area,221,221,2018,09,Aggravated Assault-Gun,2
14492,Neighborhood Profile Area,342,342,2018,12,Armed Robbery,1
14493,Neighborhood Profile Area,111,111,2021,07,Aggravated Assault-Gun,1
14494,Neighborhood Profile Area,197,197,2015,12,Aggravated Assault-Gun,6
14495,Neighborhood Profile Area,140,140,2016,04,Aggravated Assault-Gun,5
14496,Neighborhood Profile Area,2,2,2019,08,Armed Robbery,1
14497,Neighborhood Profile Area,323,323,2019,03,Armed Robbery,1
14498,Neighborhood Profile Area,120,120,2015,03,Aggravated Assault-Knife,1
14499,Neighborhood Profile Area,228,228,2019,04,Aggravated Assault-Gun,1
14500,Neighborhood Profile Area,111,111,2018,07,Armed Robbery,1
14501,Neighborhood Profile Area,86,86,2018,01,Armed Robbery,1
14502,Neighborhood Profile Area,280,280,2016,05,Armed Robbery,1
14503,Neighborhood Profile Area,293,293,2018,07,Aggravated Assault-Gun,2
14504,Neighborhood Profile Area,385,385,2021,01,Strong Arm Robbery,1
14505,Neighborhood Profile Area,93,93,2017,09,Aggravated Assault-Gun,1
14506,Neighborhood Profile Area,158,158,2018,12,Armed Robbery,1
14507,Neighborhood Profile Area,285,285,2019,04,Strong Arm Robbery,1
14508,Neighborhood Profile Area,285,285,2019,05,Strong Arm Robbery,1
14509,Neighborhood Profile Area,96,96,2021,01,Aggravated Assault-Other Weapon,1
14510,Neighborhood Profile Area,388,388,2021,09,Aggravated Assault-Gun,1
14511,Neighborhood Profile Area,49,49,2018,10,Armed Robbery,1
14512,Neighborhood Profile Area,197,197,2016,05,Armed Robbery,1
14513,Neighborhood Profile Area,363,363,2021,10,Aggravated Assault-Other Weapon,2
14514,Neighborhood Profile Area,381,381,2019,10,Armed Robbery,1
14515,Neighborhood Profile Area,331,331,2021,04,Armed Robbery,1
14516,Neighborhood Profile Area,230,230,2019,07,Aggravated Assault-Gun,1
14517,Neighborhood Profile Area,196,196,2015,05,Aggravated Assault-Gun,1
14518,Neighborhood Profile Area,196,196,2016,12,Aggravated Assault-Gun,1
14519,Neighborhood Profile Area,196,196,2019,08,Strong Arm Robbery,1
14520,Neighborhood Profile Area,288,288,2018,08,Aggravated Assault-Other Weapon,1
14521,Neighborhood Profile Area,45,45,2018,02,Aggravated Assault-Other Weapon,1
14522,Neighborhood Profile Area,71,71,2017,11,Armed Robbery,1
14523,Neighborhood Profile Area,21,21,2019,12,Strong Arm Robbery,1
14524,Neighborhood Profile Area,124,124,2020,09,Armed Robbery,1
14525,Neighborhood Profile Area,117,117,2021,06,Aggravated Assault-Other Weapon,1
14526,Neighborhood Profile Area,199,199,2015,03,Attempted Rape,1
14527,Neighborhood Profile Area,341,341,2017,07,Strong Arm Robbery,1
14528,Neighborhood Profile Area,294,294,2020,04,Aggravated Assault-Gun,1
14529,Neighborhood Profile Area,19,19,2017,06,Armed Robbery,1
14530,Neighborhood Profile Area,168,168,2019,10,Strong Arm Robbery,1
14531,Neighborhood Profile Area,114,114,2015,08,Armed Robbery,1
14532,Neighborhood Profile Area,381,381,2016,06,Strong Arm Robbery,1
14533,Neighborhood Profile Area,381,381,2020,02,Aggravated Assault-Knife,1
14534,Neighborhood Profile Area,134,134,2018,02,Aggravated Assault-Knife,1
14535,Neighborhood Profile Area,54,54,2021,06,Aggravated Assault-Gun,1
14536,Neighborhood Profile Area,295,295,2016,03,Aggravated Assault-Knife,1
14537,Neighborhood Profile Area,53,53,2022,03,Aggravated Assault-Knife,1
14538,Neighborhood Profile Area,258,258,2021,08,Aggravated Assault-Gun,4
14539,Neighborhood Profile Area,339,339,2020,04,Armed Robbery,1
14540,Neighborhood Profile Area,331,331,2020,01,Aggravated Assault-Gun,1
14541,Neighborhood Profile Area,358,358,2019,10,Aggravated Assault-Other Weapon,1
14542,Neighborhood Profile Area,218,218,2018,05,Aggravated Assault-Knife,1
14543,Neighborhood Profile Area,260,260,2019,01,Aggravated Assault-Knife,1
14544,Neighborhood Profile Area,37,37,2017,04,Aggravated Assault-Other Weapon,1
14545,Neighborhood Profile Area,142,142,2019,03,"Aggravated Assault-Fists,Feet, etc.",1
14546,Neighborhood Profile Area,59,59,2016,11,Aggravated Assault-Gun,1
14547,Neighborhood Profile Area,281,281,2017,01,Aggravated Assault-Knife,1
14548,Neighborhood Profile Area,219,219,2017,08,Aggravated Assault-Gun,1
14549,Neighborhood Profile Area,340,340,2015,02,Aggravated Assault-Gun,2
14550,Neighborhood Profile Area,3,3,2016,06,Aggravated Assault-Gun,1
14551,Neighborhood Profile Area,3,3,2018,01,Aggravated Assault-Gun,3
14552,Neighborhood Profile Area,3,3,2019,01,Aggravated Assault-Other Weapon,1
14553,Neighborhood Profile Area,3,3,2020,06,"Aggravated Assault-Fists,Feet, etc.",1
14554,Neighborhood Profile Area,157,157,2018,07,Aggravated Assault-Gun,7
14555,Neighborhood Profile Area,59,59,2017,05,Aggravated Assault-Gun,1
14556,Neighborhood Profile Area,219,219,2018,11,Aggravated Assault-Knife,1
14557,Neighborhood Profile Area,192,192,2021,04,Aggravated Assault-Gun,1
14558,Neighborhood Profile Area,141,141,2021,08,Aggravated Assault-Other Weapon,1
14559,Neighborhood Profile Area,281,281,2020,10,Homicide,1
14560,Neighborhood Profile Area,73,73,2019,10,Aggravated Assault-Gun,1
14561,Neighborhood Profile Area,33,33,2020,03,Aggravated Assault-Other Weapon,1
14562,Neighborhood Profile Area,231,231,2021,09,Aggravated Assault-Other Weapon,1
14563,Neighborhood Profile Area,6,6,2020,10,Homicide,1
14564,Neighborhood Profile Area,289,289,2022,03,Aggravated Assault-Knife,1
14565,Neighborhood Profile Area,390,390,2018,06,Armed Robbery,1
14566,Neighborhood Profile Area,77,77,2016,04,Rape,1
14567,Neighborhood Profile Area,77,77,2016,05,Aggravated Assault-Other Weapon,2
14568,Neighborhood Profile Area,174,174,2019,10,Strong Arm Robbery,1
14569,Neighborhood Profile Area,125,125,2020,11,Aggravated Assault-Gun,2
14570,Neighborhood Profile Area,122,122,2020,12,Aggravated Assault-Other Weapon,1
14571,Neighborhood Profile Area,361,361,2017,11,Armed Robbery,1
14572,Neighborhood Profile Area,342,342,2021,01,Aggravated Assault-Other Weapon,1
14573,Neighborhood Profile Area,128,128,2021,01,Rape,1
14574,Neighborhood Profile Area,238,238,2021,01,Aggravated Assault-Gun,1
14575,Neighborhood Profile Area,71,71,2015,10,Aggravated Assault-Gun,1
14576,Neighborhood Profile Area,71,71,2017,12,Armed Robbery,1
14577,Neighborhood Profile Area,290,290,2017,01,Strong Arm Robbery,1
14578,Neighborhood Profile Area,290,290,2019,05,Strong Arm Robbery,1
14579,Neighborhood Profile Area,387,387,2022,03,Aggravated Assault-Gun,1
14580,Neighborhood Profile Area,344,344,2018,03,Armed Robbery,1
14581,Neighborhood Profile Area,34,34,2017,09,Aggravated Assault-Gun,2
14582,Neighborhood Profile Area,13,13,2018,07,Strong Arm Robbery,1
14583,Neighborhood Profile Area,341,341,2017,06,Strong Arm Robbery,1
14584,Neighborhood Profile Area,362,362,2020,10,Strong Arm Robbery,1
14585,Neighborhood Profile Area,119,119,2021,05,Aggravated Assault-Gun,1
14586,Neighborhood Profile Area,163,163,2015,08,Aggravated Assault-Gun,4
14587,Neighborhood Profile Area,384,384,2017,10,Rape,1
14588,Neighborhood Profile Area,22,22,2017,06,Aggravated Assault-Other Weapon,2
14589,Neighborhood Profile Area,157,157,2017,12,Strong Arm Robbery,1
14590,Neighborhood Profile Area,3,3,2016,03,Aggravated Assault-Knife,1
14591,Neighborhood Profile Area,247,247,2020,11,Aggravated Assault-Knife,1
14592,Neighborhood Profile Area,147,147,2015,01,Armed Robbery,1
14593,Neighborhood Profile Area,341,341,2017,02,Strong Arm Robbery,1
14594,Neighborhood Profile Area,340,340,2021,09,Aggravated Assault-Knife,1
14595,Neighborhood Profile Area,184,184,2017,07,Aggravated Assault-Gun,2
14596,Neighborhood Profile Area,363,363,2016,11,Aggravated Assault-Gun,2
14597,Neighborhood Profile Area,272,272,2016,08,Armed Robbery,1
14598,Neighborhood Profile Area,30,30,2021,08,Armed Robbery,2
14599,Neighborhood Profile Area,103,103,2021,03,Armed Robbery,1
14600,Neighborhood Profile Area,140,140,2021,05,Aggravated Assault-Gun,1
14601,Neighborhood Profile Area,58,58,2019,01,Aggravated Assault-Gun,2
14602,Neighborhood Profile Area,114,114,2016,03,Aggravated Assault-Other Weapon,1
14603,Neighborhood Profile Area,274,274,2020,08,Aggravated Assault-Gun,2
14604,Neighborhood Profile Area,291,291,2018,08,Armed Robbery,1
14605,Neighborhood Profile Area,21,21,2020,01,Aggravated Assault-Knife,1
14606,Neighborhood Profile Area,208,208,2021,11,Aggravated Assault-Gun,1
14607,Neighborhood Profile Area,88,88,2017,03,Aggravated Assault-Knife,1
14608,Neighborhood Profile Area,94,94,2019,10,Aggravated Assault-Other Weapon,1
14609,Neighborhood Profile Area,369,369,2017,08,Aggravated Assault-Knife,1
14610,Neighborhood Profile Area,336,336,2021,04,Armed Robbery,1
14611,Neighborhood Profile Area,290,290,2021,05,Aggravated Assault-Gun,1
14612,Neighborhood Profile Area,6,6,2019,09,"Aggravated Assault-Fists,Feet, etc.",2
14613,Neighborhood Profile Area,238,238,2016,04,Strong Arm Robbery,1
